dataset,model,model_key,method,training_labels,seed,run_id,source_path,manifest_sha256,prepared_content_sha256,probability_semantics,failed_rows_without_retained_probabilities,method_label,n_test,accuracy,macro_f1,n_failures,n_probability_rows,probability_coverage,log_loss,brier_sum,ece_15_equal_width,roc_auc,average_precision,zero_true_class_probability_rows,probability_renormalized_rows,chosen_label_argmax_disagreement_rows,accuracy_ci_low,accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,bootstrap_samples
sst2,Jev 1.13,jev,zero_shot,0,42,sst2__jev-1.13__9d5a851767fc,results/jev/sst2__jev-1.13__9d5a851767fc/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,455b121f96a1a84d102bdbf3ede188a8baf96fdc8a167f20275a3d67f533d238,API-returned Choice distribution; OpenRouter transport,2,zero-shot,200,0.935,0.9394919752306331,2,198,0.99,0.30264160197324114,0.08498181818181819,0.04080808080808085,0.9888775510204081,0.9900678567974304,1,0,0,0.9,0.965,0.903951367781155,0.9697956915927974,1000
sst2,Jev 1.13,jev,few_shot,8,42,sst2__jev-1.13__a33c2b36ded6,results/jev/sst2__jev-1.13__a33c2b36ded6/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,455b121f96a1a84d102bdbf3ede188a8baf96fdc8a167f20275a3d67f533d238,API-returned Choice distribution; OpenRouter transport,0,few-shot 4/class,200,0.965,0.9649991249781245,0,200,1.0,0.08529903485843125,0.049113,0.012149999999999933,0.9982993197278911,0.9982578957321434,0,0,0,0.935,0.99,0.9349583727871521,0.9899911170553699,1000
sst2,Qwen2.5 0.5B,qwen05,zero_shot,0,42,sst2__Qwen2.5-0.5B-Instruct__594a827ceab2,results/pilot/sst2__Qwen2.5-0.5B-Instruct__594a827ceab2/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,455b121f96a1a84d102bdbf3ede188a8baf96fdc8a167f20275a3d67f533d238,Normalized likelihood of numeric class ID plus EOS,0,zero-shot,200,0.5,0.3503118503118503,0,200,1.0,0.7051327636511681,0.5119953906060916,0.18491211863099927,0.7543017206882754,0.779817969356574,0,22,0,0.49,0.515,0.3288590604026846,0.38119996172370896,1000
sst2,Qwen2.5 0.5B,qwen05,few_shot,8,42,sst2__Qwen2.5-0.5B-Instruct__9800b4c889cc,results/pilot/sst2__Qwen2.5-0.5B-Instruct__9800b4c889cc/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,455b121f96a1a84d102bdbf3ede188a8baf96fdc8a167f20275a3d67f533d238,Normalized likelihood of numeric class ID plus EOS,0,few-shot 4/class,200,0.85,0.8499399759903962,0,200,1.0,0.4122388799405306,0.2495906547272934,0.1802140690366194,0.9404761904761905,0.9527658350542727,0,20,0,0.8,0.895,0.7999784972494849,0.8949973749343734,1000
sst2,Qwen2.5 0.5B,qwen05,lora,8,42,sst2__Qwen2.5-0.5B-Instruct__c29d9f2be13f,results/pilot/sst2__Qwen2.5-0.5B-Instruct__c29d9f2be13f/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,455b121f96a1a84d102bdbf3ede188a8baf96fdc8a167f20275a3d67f533d238,Normalized likelihood of numeric class ID plus EOS,0,LoRA 4/class,200,0.895,0.8944060339409177,0,200,1.0,0.32650670811886,0.19251880075388839,0.10549120014723656,0.9581832733093237,0.9628165079261869,0,39,0,0.85,0.935,0.8487750781328763,0.9348044116425207,1000
sst2,Qwen3 4B,qwen4b,zero_shot,0,42,sst2__Qwen3-4B-Instruct-2507__0e4acd9aac6a,results/colab/sst2__Qwen3-4B-Instruct-2507__0e4acd9aac6a/run.json,c608dce4ff40a3a5022e447c05bdf92a922f4cb102adb4c3130876f4b69be86f,455b121f96a1a84d102bdbf3ede188a8baf96fdc8a167f20275a3d67f533d238,Normalized likelihood of numeric class ID plus EOS,0,zero-shot,200,0.915,0.9147420948368815,0,200,1.0,0.7769975088033426,0.15205012660452727,0.07724783900884774,0.9777911164465787,0.9799246293385436,0,59,0,0.87,0.95,0.869526047968244,0.9499549594635172,1000
sst2,Qwen3 4B,qwen4b,few_shot,8,42,sst2__Qwen3-4B-Instruct-2507__5823bb43da99,results/colab/sst2__Qwen3-4B-Instruct-2507__5823bb43da99/run.json,c608dce4ff40a3a5022e447c05bdf92a922f4cb102adb4c3130876f4b69be86f,455b121f96a1a84d102bdbf3ede188a8baf96fdc8a167f20275a3d67f533d238,Normalized likelihood of numeric class ID plus EOS,0,few-shot 4/class,200,0.955,0.9549988749718743,0,200,1.0,0.7979670388614964,0.08892544423391299,0.045974154323587486,0.982593037214886,0.9860094999741104,0,49,0,0.92,0.98,0.919999799979998,0.98,1000
sst2,Qwen3 4B,qwen4b,lora,8,42,sst2__Qwen3-4B-Instruct-2507__22d330c63925,results/colab/sst2__Qwen3-4B-Instruct-2507__22d330c63925/run.json,c608dce4ff40a3a5022e447c05bdf92a922f4cb102adb4c3130876f4b69be86f,455b121f96a1a84d102bdbf3ede188a8baf96fdc8a167f20275a3d67f533d238,Normalized likelihood of numeric class ID plus EOS,0,QLoRA 4/class,200,0.935,0.934998374959374,0,200,1.0,1.0703236277315538,0.12320657978184578,0.06334531337246611,0.9809923969587835,0.9818045497548348,0,48,0,0.895,0.965,0.8949973749343734,0.9649991249781245,1000
sst2,TF-IDF MultinomialNB,nb_pilot,classical,8,42,sst2__multinomial_nb__a094038879f9,results/pilot/sst2__multinomial_nb__a094038879f9/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,455b121f96a1a84d102bdbf3ede188a8baf96fdc8a167f20275a3d67f533d238,MultinomialNB native predict_proba; no post-hoc calibration,0,classical 4/class,200,0.54,0.5388471177944862,0,200,1.0,0.698604859978529,0.5049764137059103,0.09440417408474142,0.5393157262905163,0.5572348358940413,0,197,0,0.47,0.605,0.467390212038991,0.6021253556948956,1000
trec,Jev 1.13,jev,zero_shot,0,42,trec__jev-1.13__ce2f8d23bf30,results/jev/trec__jev-1.13__ce2f8d23bf30/run.json,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,bccc636a93d4afaa6eb6f60db3c6cb078373b05f32943b4ae6c201a5cfcb3aad,API-returned Choice distribution; OpenRouter transport,3,zero-shot,200,0.335,0.3622405215302796,3,197,0.985,1.763118080640654,0.7965654822335024,0.32908629441624365,,,2,5,0,0.29,0.385,0.3065175300636521,0.4174337436485482,1000
trec,Jev 1.13,jev,few_shot,24,42,trec__jev-1.13__bc52fb6a4b0f,results/jev/trec__jev-1.13__bc52fb6a4b0f/run.json,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,bccc636a93d4afaa6eb6f60db3c6cb078373b05f32943b4ae6c201a5cfcb3aad,API-returned Choice distribution; OpenRouter transport,0,few-shot 4/class,200,0.855,0.8740348500895799,0,200,1.0,0.281888385460274,0.17031,0.053800000000000035,,,0,0,0,0.81,0.9,0.8288126475120831,0.919088871618988,1000
trec,Qwen2.5 0.5B,qwen05,zero_shot,0,42,trec__Qwen2.5-0.5B-Instruct__67b435872393,results/pilot/trec__Qwen2.5-0.5B-Instruct__67b435872393/run.json,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,bccc636a93d4afaa6eb6f60db3c6cb078373b05f32943b4ae6c201a5cfcb3aad,Normalized likelihood of numeric class ID plus EOS,0,zero-shot,200,0.155,0.08169000998768959,0,200,1.0,2.729555585556604,1.089858959308101,0.337506305303091,,,0,64,0,0.125,0.18,0.06766218591528878,0.09539380588618193,1000
trec,Qwen2.5 0.5B,qwen05,few_shot,24,42,trec__Qwen2.5-0.5B-Instruct__5d00e79e1d60,results/pilot/trec__Qwen2.5-0.5B-Instruct__5d00e79e1d60/run.json,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,bccc636a93d4afaa6eb6f60db3c6cb078373b05f32943b4ae6c201a5cfcb3aad,Normalized likelihood of numeric class ID plus EOS,0,few-shot 4/class,200,0.175,0.08807352128247652,0,200,1.0,2.405796989776691,0.923694037148103,0.23378589822729473,,,0,74,0,0.14,0.215,0.06377953334370763,0.11525812017326678,1000
trec,Qwen2.5 0.5B,qwen05,lora,24,42,trec__Qwen2.5-0.5B-Instruct__23d9b42b5b4e,results/pilot/trec__Qwen2.5-0.5B-Instruct__23d9b42b5b4e/run.json,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,bccc636a93d4afaa6eb6f60db3c6cb078373b05f32943b4ae6c201a5cfcb3aad,Normalized likelihood of numeric class ID plus EOS,0,LoRA 4/class,200,0.04,0.044526143790849675,0,200,1.0,2.008890132272164,0.9208984211240799,0.29119700188589215,,,0,60,0,0.025,0.06,0.0157518236581856,0.07986967269766776,1000
trec,Qwen3 4B,qwen4b,zero_shot,0,42,trec__Qwen3-4B-Instruct-2507__2f1ff41bd14e,results/colab/trec__Qwen3-4B-Instruct-2507__2f1ff41bd14e/run.json,82ffabbb8da285a63645b2d21dc15f8cbba5d150c2d30117a286f937f3e185fe,bccc636a93d4afaa6eb6f60db3c6cb078373b05f32943b4ae6c201a5cfcb3aad,Normalized likelihood of numeric class ID plus EOS,0,zero-shot,200,0.525,0.48204663657354924,0,200,1.0,7.013104896819637,0.9363696861667896,0.4753509190795829,,,0,67,0,0.485,0.565,0.3756163404460207,0.5552411612453004,1000
trec,Qwen3 4B,qwen4b,few_shot,24,42,trec__Qwen3-4B-Instruct-2507__c0b1cc9b3d0f,results/colab/trec__Qwen3-4B-Instruct-2507__c0b1cc9b3d0f/run.json,82ffabbb8da285a63645b2d21dc15f8cbba5d150c2d30117a286f937f3e185fe,bccc636a93d4afaa6eb6f60db3c6cb078373b05f32943b4ae6c201a5cfcb3aad,Normalized likelihood of numeric class ID plus EOS,0,few-shot 4/class,200,0.83,0.8517748983850678,0,200,1.0,2.2314014840418395,0.3186914749156792,0.16182486436250307,,,0,74,0,0.785,0.875,0.808881256463489,0.8913472689023841,1000
trec,Qwen3 4B,qwen4b,lora,24,42,trec__Qwen3-4B-Instruct-2507__70bf91598825,results/colab/trec__Qwen3-4B-Instruct-2507__70bf91598825/run.json,82ffabbb8da285a63645b2d21dc15f8cbba5d150c2d30117a286f937f3e185fe,bccc636a93d4afaa6eb6f60db3c6cb078373b05f32943b4ae6c201a5cfcb3aad,Normalized likelihood of numeric class ID plus EOS,0,QLoRA 4/class,200,0.8,0.7509501002290576,0,200,1.0,0.8107062684060495,0.3116077282963913,0.13625301912768603,,,0,71,0,0.76,0.845,0.6727571579790322,0.8171104832102742,1000
