dataset,model,method,method_label,track,train_per_class,train_labels,dev_labels,status,n_test,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,n_groups,n_failures,probability_coverage,n_probability_rows,log_loss,brier_sum,ece_15_equal_width,latency_p50_s,latency_p95_s,training_seconds,requested_model,resolved_models,requested_revision,resolved_revisions,inference_dtypes,devices,training_dtype,training_quantized_4bit,probability_kinds,output_protocol,run_id,source_path,manifest_sha256,config
titanic,majority,classical_tabular,4/class,zero/matched labels,4,8,0,complete,262,0.6183206106870229,0.5439330543933054,0.6908430078456319,0.38207547169811323,0.3523035230352303,0.40857903690072817,218,0,1.0,262,13.182739082026979,0.7633587786259542,0.38167938931297707,6.9238203719883926e-06,6.9238203719883926e-06,0.00868187507148832,majority,[],,[],[],[],,,"[""native_uncalibrated""]",native columns,titanic__native_majority__05aea2d028ea,results/tabular/classical/titanic__native_majority__05aea2d028ea/run.json,ae261664feb1ca83d5bc25b6fe11697a293026c137070369b8afd95cf1c63966,"{""feature_schema_sha256"": ""8497a36fbdfc41533a3fb54a972d7aa94cd6b922cfa151ecac2620717a849352"", ""input_representation"": ""native_columns"", ""model"": ""majority"", ""native_records_sha256"": ""3c2cc96d2dea677bde8d22d2c2492700f29ffd54671d54e216385743f599ac8e"", ""selection"": ""fixed_parameters_no_validation_labels"", ""tabular_classical_sha256"": ""9f929c3695888a11d7bb2a5ebdf383f9de03920d2dfdade4c2ae504d5e9ff214"", ""tabular_data_sha256"": ""339ead1c818e05868d889a8d397a4eac522a3d949a6ea31a08f8b455f45b87a6"", ""train_per_class"": 4}"
titanic,majority,classical_tabular,full training,full training; extra labels,,785,0,complete,262,0.6183206106870229,0.5439330543933054,0.6908430078456319,0.38207547169811323,0.3523035230352303,0.40857903690072817,218,0,1.0,262,13.182739082026979,0.7633587786259542,0.38167938931297707,6.258744081724008e-06,6.258744081724008e-06,0.002575709018856287,majority,[],,[],[],[],,,"[""native_uncalibrated""]",native columns,titanic__native_majority__1696f75e2ef2,results/tabular/classical/titanic__native_majority__1696f75e2ef2/run.json,ae261664feb1ca83d5bc25b6fe11697a293026c137070369b8afd95cf1c63966,"{""feature_schema_sha256"": ""8497a36fbdfc41533a3fb54a972d7aa94cd6b922cfa151ecac2620717a849352"", ""input_representation"": ""native_columns"", ""model"": ""majority"", ""native_records_sha256"": ""3c2cc96d2dea677bde8d22d2c2492700f29ffd54671d54e216385743f599ac8e"", ""selection"": ""fixed_parameters_no_validation_labels"", ""tabular_classical_sha256"": ""9f929c3695888a11d7bb2a5ebdf383f9de03920d2dfdade4c2ae504d5e9ff214"", ""tabular_data_sha256"": ""339ead1c818e05868d889a8d397a4eac522a3d949a6ea31a08f8b455f45b87a6"", ""train_per_class"": null}"
titanic,logistic_regression,classical_tabular,4/class,zero/matched labels,4,8,0,complete,262,0.6412213740458015,0.5708203125,0.7152329378219279,0.6184544834851584,0.5492653689584986,0.6839317471423212,218,0,1.0,262,0.7848631782050607,0.5124016780085646,0.1214948343280407,7.127385447868182e-06,7.127385447868182e-06,0.0060237920843064785,logistic_regression,[],,[],[],[],,,"[""native_uncalibrated""]",native columns,titanic__native_logistic_regression__93afc6c9bc34,results/tabular/classical/titanic__native_logistic_regression__93afc6c9bc34/run.json,ae261664feb1ca83d5bc25b6fe11697a293026c137070369b8afd95cf1c63966,"{""feature_schema_sha256"": ""8497a36fbdfc41533a3fb54a972d7aa94cd6b922cfa151ecac2620717a849352"", ""input_representation"": ""native_columns"", ""model"": ""logistic_regression"", ""native_records_sha256"": ""3c2cc96d2dea677bde8d22d2c2492700f29ffd54671d54e216385743f599ac8e"", ""selection"": ""fixed_parameters_no_validation_labels"", ""tabular_classical_sha256"": ""9f929c3695888a11d7bb2a5ebdf383f9de03920d2dfdade4c2ae504d5e9ff214"", ""tabular_data_sha256"": ""339ead1c818e05868d889a8d397a4eac522a3d949a6ea31a08f8b455f45b87a6"", ""train_per_class"": 4}"
titanic,logistic_regression,classical_tabular,full training,full training; extra labels,,785,0,complete,262,0.7900763358778626,0.7298387096774194,0.8436586981725832,0.7734383598257943,0.7127635195855452,0.8263573123461703,218,0,1.0,262,0.46021934763826483,0.29459502997830417,0.03592975870624819,6.317110813955087e-06,6.317110813955087e-06,0.004245250020176172,logistic_regression,[],,[],[],[],,,"[""native_uncalibrated""]",native columns,titanic__native_logistic_regression__8da142e7d0e4,results/tabular/classical/titanic__native_logistic_regression__8da142e7d0e4/run.json,ae261664feb1ca83d5bc25b6fe11697a293026c137070369b8afd95cf1c63966,"{""feature_schema_sha256"": ""8497a36fbdfc41533a3fb54a972d7aa94cd6b922cfa151ecac2620717a849352"", ""input_representation"": ""native_columns"", ""model"": ""logistic_regression"", ""native_records_sha256"": ""3c2cc96d2dea677bde8d22d2c2492700f29ffd54671d54e216385743f599ac8e"", ""selection"": ""fixed_parameters_no_validation_labels"", ""tabular_classical_sha256"": ""9f929c3695888a11d7bb2a5ebdf383f9de03920d2dfdade4c2ae504d5e9ff214"", ""tabular_data_sha256"": ""339ead1c818e05868d889a8d397a4eac522a3d949a6ea31a08f8b455f45b87a6"", ""train_per_class"": null}"
titanic,rbf_svc,classical_tabular,4/class,zero/matched labels,4,8,0,complete,262,0.7022900763358778,0.6329511579912864,0.7683397683397684,0.6440217391304348,0.574890760713866,0.7080113885962375,218,0,0.0,0,,,,4.772267051979558e-06,4.772267051979558e-06,0.003779499907977879,rbf_svc,[],,[],[],[],,,"[""none""]",native columns,titanic__native_rbf_svc__b05e1156e319,results/tabular/classical/titanic__native_rbf_svc__b05e1156e319/run.json,ae261664feb1ca83d5bc25b6fe11697a293026c137070369b8afd95cf1c63966,"{""feature_schema_sha256"": ""8497a36fbdfc41533a3fb54a972d7aa94cd6b922cfa151ecac2620717a849352"", ""input_representation"": ""native_columns"", ""model"": ""rbf_svc"", ""native_records_sha256"": ""3c2cc96d2dea677bde8d22d2c2492700f29ffd54671d54e216385743f599ac8e"", ""selection"": ""fixed_parameters_no_validation_labels"", ""tabular_classical_sha256"": ""9f929c3695888a11d7bb2a5ebdf383f9de03920d2dfdade4c2ae504d5e9ff214"", ""tabular_data_sha256"": ""339ead1c818e05868d889a8d397a4eac522a3d949a6ea31a08f8b455f45b87a6"", ""train_per_class"": 4}"
titanic,rbf_svc,classical_tabular,full training,full training; extra labels,,785,0,complete,262,0.7938931297709924,0.7343054171986587,0.8486870365346356,0.7727009832272991,0.7120831233781588,0.8274449500835156,218,0,0.0,0,,,,1.4488389342312367e-05,1.4488389342312367e-05,0.007944958982989192,rbf_svc,[],,[],[],[],,,"[""none""]",native columns,titanic__native_rbf_svc__a77936e5c214,results/tabular/classical/titanic__native_rbf_svc__a77936e5c214/run.json,ae261664feb1ca83d5bc25b6fe11697a293026c137070369b8afd95cf1c63966,"{""feature_schema_sha256"": ""8497a36fbdfc41533a3fb54a972d7aa94cd6b922cfa151ecac2620717a849352"", ""input_representation"": ""native_columns"", ""model"": ""rbf_svc"", ""native_records_sha256"": ""3c2cc96d2dea677bde8d22d2c2492700f29ffd54671d54e216385743f599ac8e"", ""selection"": ""fixed_parameters_no_validation_labels"", ""tabular_classical_sha256"": ""9f929c3695888a11d7bb2a5ebdf383f9de03920d2dfdade4c2ae504d5e9ff214"", ""tabular_data_sha256"": ""339ead1c818e05868d889a8d397a4eac522a3d949a6ea31a08f8b455f45b87a6"", ""train_per_class"": null}"
titanic,random_forest,classical_tabular,4/class,zero/matched labels,4,8,0,complete,262,0.5801526717557252,0.4928985392187996,0.6704991980753809,0.5765998707175177,0.4897175133825989,0.6651594435999649,218,0,1.0,262,0.6992932994858215,0.5050385496183206,0.15087786259541985,3.939567183549622e-05,3.939567183549622e-05,0.07019520807079971,random_forest,[],,[],[],[],,,"[""native_uncalibrated""]",native columns,titanic__native_random_forest__1e813c4a1d10,results/tabular/classical/titanic__native_random_forest__1e813c4a1d10/run.json,ae261664feb1ca83d5bc25b6fe11697a293026c137070369b8afd95cf1c63966,"{""feature_schema_sha256"": ""8497a36fbdfc41533a3fb54a972d7aa94cd6b922cfa151ecac2620717a849352"", ""input_representation"": ""native_columns"", ""model"": ""random_forest"", ""native_records_sha256"": ""3c2cc96d2dea677bde8d22d2c2492700f29ffd54671d54e216385743f599ac8e"", ""selection"": ""fixed_parameters_no_validation_labels"", ""tabular_classical_sha256"": ""9f929c3695888a11d7bb2a5ebdf383f9de03920d2dfdade4c2ae504d5e9ff214"", ""tabular_data_sha256"": ""339ead1c818e05868d889a8d397a4eac522a3d949a6ea31a08f8b455f45b87a6"", ""train_per_class"": 4}"
titanic,random_forest,classical_tabular,full training,full training; extra labels,,785,0,complete,262,0.7862595419847328,0.728932909196067,0.8409964103427,0.7698293172690763,0.7135851739439341,0.8227133950578926,218,0,1.0,262,0.5109891573976798,0.3081182989303203,0.061809161185660766,5.976081326362172e-05,5.976081326362172e-05,0.10744554200209677,random_forest,[],,[],[],[],,,"[""native_uncalibrated""]",native columns,titanic__native_random_forest__bc0e18c4e976,results/tabular/classical/titanic__native_random_forest__bc0e18c4e976/run.json,ae261664feb1ca83d5bc25b6fe11697a293026c137070369b8afd95cf1c63966,"{""feature_schema_sha256"": ""8497a36fbdfc41533a3fb54a972d7aa94cd6b922cfa151ecac2620717a849352"", ""input_representation"": ""native_columns"", ""model"": ""random_forest"", ""native_records_sha256"": ""3c2cc96d2dea677bde8d22d2c2492700f29ffd54671d54e216385743f599ac8e"", ""selection"": ""fixed_parameters_no_validation_labels"", ""tabular_classical_sha256"": ""9f929c3695888a11d7bb2a5ebdf383f9de03920d2dfdade4c2ae504d5e9ff214"", ""tabular_data_sha256"": ""339ead1c818e05868d889a8d397a4eac522a3d949a6ea31a08f8b455f45b87a6"", ""train_per_class"": null}"
titanic,hist_gradient_boosting,classical_tabular,4/class,zero/matched labels,4,8,0,complete,262,0.5648854961832062,0.48518242122719735,0.6470687936191426,0.5424632352941177,0.4657292997287701,0.6122060174307196,218,0,1.0,262,1.1382044797977775,0.6844740417033633,0.308036169260277,1.5038324214290571e-05,1.5038324214290571e-05,0.03508758300449699,hist_gradient_boosting,[],,[],[],[],,,"[""native_uncalibrated""]",native columns,titanic__native_hist_gradient_boosting__c0a4aad9177f,results/tabular/classical/titanic__native_hist_gradient_boosting__c0a4aad9177f/run.json,ae261664feb1ca83d5bc25b6fe11697a293026c137070369b8afd95cf1c63966,"{""feature_schema_sha256"": ""8497a36fbdfc41533a3fb54a972d7aa94cd6b922cfa151ecac2620717a849352"", ""input_representation"": ""native_columns"", ""model"": ""hist_gradient_boosting"", ""native_records_sha256"": ""3c2cc96d2dea677bde8d22d2c2492700f29ffd54671d54e216385743f599ac8e"", ""selection"": ""fixed_parameters_no_validation_labels"", ""tabular_classical_sha256"": ""9f929c3695888a11d7bb2a5ebdf383f9de03920d2dfdade4c2ae504d5e9ff214"", ""tabular_data_sha256"": ""339ead1c818e05868d889a8d397a4eac522a3d949a6ea31a08f8b455f45b87a6"", ""train_per_class"": 4}"
titanic,hist_gradient_boosting,classical_tabular,full training,full training; extra labels,,785,0,complete,262,0.7824427480916031,0.718359291084855,0.8395967763438565,0.761875149485769,0.6955113636363636,0.8185519376918817,218,0,1.0,262,0.4809273147357261,0.30694415403815856,0.08930804732682694,1.7930503813763155e-05,1.7930503813763155e-05,0.07976883405353874,hist_gradient_boosting,[],,[],[],[],,,"[""native_uncalibrated""]",native columns,titanic__native_hist_gradient_boosting__fc0a00812560,results/tabular/classical/titanic__native_hist_gradient_boosting__fc0a00812560/run.json,ae261664feb1ca83d5bc25b6fe11697a293026c137070369b8afd95cf1c63966,"{""feature_schema_sha256"": ""8497a36fbdfc41533a3fb54a972d7aa94cd6b922cfa151ecac2620717a849352"", ""input_representation"": ""native_columns"", ""model"": ""hist_gradient_boosting"", ""native_records_sha256"": ""3c2cc96d2dea677bde8d22d2c2492700f29ffd54671d54e216385743f599ac8e"", ""selection"": ""fixed_parameters_no_validation_labels"", ""tabular_classical_sha256"": ""9f929c3695888a11d7bb2a5ebdf383f9de03920d2dfdade4c2ae504d5e9ff214"", ""tabular_data_sha256"": ""339ead1c818e05868d889a8d397a4eac522a3d949a6ea31a08f8b455f45b87a6"", ""train_per_class"": null}"
