dataset,model,display_model,arm,method,train_per_class,train_labels,status,n_test,accuracy,macro_f1,balanced_accuracy,n_failures,probability_coverage,log_loss,brier_sum,run_id,source_run_id,measurement_origin,source_path
breast_cancer,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5 0.5B,base,zero_shot,0,0,complete,114,0.37719298245614036,0.27388535031847133,0.5,0,1.0,1.156416903397122,0.8682457300470912,breast_cancer__Qwen2.5-0.5B-Instruct__dda8e08a1643,,reused_original_tabular,results/tabular/local/breast_cancer__Qwen2.5-0.5B-Instruct__dda8e08a1643/run.json
breast_cancer,Qwen/Qwen2.5-0.5B-Instruct+jev_review,Qwen2.5 0.5B → Jev,review,cached_label_jev_review,0,0,complete,114,0.8508771929824561,0.8494757281553398,0.880281690140845,0,1.0,0.3876742001349786,0.2345140350877193,breast_cancer__qwen_small__k0__jev-review,breast_cancer__Qwen2.5-0.5B-Instruct__dda8e08a1643,new_review_expansion,results/numeric_expansion/review/breast_cancer__qwen_small__k0__jev-review/run.json
breast_cancer,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5 0.5B,base,few_shot,4,8,complete,114,0.6140350877192983,0.3804347826086957,0.49295774647887325,0,1.0,0.7188283732575117,0.5224747282462683,breast_cancer__Qwen2.5-0.5B-Instruct__4f3b067694b6,,reused_original_tabular,results/tabular/local/breast_cancer__Qwen2.5-0.5B-Instruct__4f3b067694b6/run.json
breast_cancer,Qwen/Qwen2.5-0.5B-Instruct+jev_review,Qwen2.5 0.5B → Jev,review,cached_label_jev_review,4,8,complete,114,0.9385964912280702,0.9349474199070678,0.9369472649852604,0,1.0,0.15939029303926971,0.09053684210526314,breast_cancer__qwen_small__k4__jev-review,breast_cancer__Qwen2.5-0.5B-Instruct__4f3b067694b6,new_review_expansion,results/numeric_expansion/review/breast_cancer__qwen_small__k4__jev-review/run.json
breast_cancer,Qwen/Qwen3-4B-Instruct-2507,Qwen3 4B,base,zero_shot,0,0,complete,114,0.6140350877192983,0.4792358803986711,0.5204716672125778,0,1.0,1.56162826682565,0.6441842855463019,breast_cancer__Qwen3-4B-Instruct-2507__1939b7a5ad23,,reused_original_tabular,results/tabular/colab/breast_cancer__Qwen3-4B-Instruct-2507__1939b7a5ad23/run.json
breast_cancer,Qwen/Qwen3-4B-Instruct-2507+jev_review,Qwen3 4B → Jev,review,cached_label_jev_review,0,0,complete,114,0.9298245614035088,0.922972972972973,0.911562397641664,0,1.0,0.3158369182657295,0.1742982456140351,breast_cancer__qwen_main__k0__jev-review,breast_cancer__Qwen3-4B-Instruct-2507__1939b7a5ad23,new_review_expansion,results/numeric_expansion/review/breast_cancer__qwen_main__k0__jev-review/run.json
breast_cancer,Qwen/Qwen3-4B-Instruct-2507,Qwen3 4B,base,few_shot,4,8,complete,114,0.8596491228070176,0.858076563958917,0.8873239436619718,0,1.0,1.1060433164588868,0.2710693076736418,breast_cancer__Qwen3-4B-Instruct-2507__cd3baa813fe3,,reused_original_tabular,results/tabular/colab/breast_cancer__Qwen3-4B-Instruct-2507__cd3baa813fe3/run.json
breast_cancer,Qwen/Qwen3-4B-Instruct-2507+jev_review,Qwen3 4B → Jev,review,cached_label_jev_review,4,8,complete,114,0.9298245614035088,0.9265700483091788,0.9344906649197511,0,1.0,0.1631087594715812,0.09453333333333333,breast_cancer__qwen3_4b__jev-review,breast_cancer__Qwen3-4B-Instruct-2507__cd3baa813fe3,reused_original_numeric_supplement,results/numeric_decisions/review/breast_cancer__qwen3_4b__jev-review/run.json
breast_cancer,HuggingFaceTB/SmolLM2-1.7B-Instruct,SmolLM2 1.7B,base,zero_shot,0,0,complete,114,0.37719298245614036,0.27388535031847133,0.5,0,1.0,0.8542207494674848,0.6523196666379161,breast_cancer__SmolLM2-1.7B-Instruct__3952bc9fbb3b,,new_local_expansion,results/numeric_expansion/local/breast_cancer__SmolLM2-1.7B-Instruct__3952bc9fbb3b/run.json
breast_cancer,HuggingFaceTB/SmolLM2-1.7B-Instruct+jev_review,SmolLM2 1.7B → Jev,review,cached_label_jev_review,0,0,complete,114,0.868421052631579,0.8661028893587033,0.8897805437274812,0,1.0,0.37662090883615473,0.22619298245614036,breast_cancer__smollm2__k0__jev-review,breast_cancer__SmolLM2-1.7B-Instruct__3952bc9fbb3b,new_review_expansion,results/numeric_expansion/review/breast_cancer__smollm2__k0__jev-review/run.json
