dataset,model,display_model,method,method_label,track,status,seed,labels_per_class,train_labels,dev_labels,label_count_basis,output_protocol,latency_basis,run_id,source_path,manifest_sha256,test_ids_sha256,selection,selected_validation_macro_f1,base_revision,reasoning_effort,max_output_tokens,training_quantized,training_s,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,bootstrap_samples,n_test,n_failures,failure_rate,latency_p50_s,latency_p95_s,resolved_models,resolved_revisions,scoring_details,input_tokens,output_tokens,input_tokens_coverage,output_tokens_coverage,input_tokens_known_total,output_tokens_known_total,manifest_group
sst2,multinomial_nb,TF-IDF + Multinomial NB,classical,classical 4/class,matched/reference,complete,42,4,8,0,recorded,classical native,amortized batch per row,sst2__multinomial_nb__a0cf6a1ac8df,results/colab/sst2__multinomial_nb__a0cf6a1ac8df/run.json,c608dce4ff40a3a5022e447c05bdf92a922f4cb102adb4c3130876f4b69be86f,0d20d0ef31088eae9a7ecddbe1f61daf17b86b5757b34f868da0378149451f31,configuration fixed,,,,,,0.0058177610000029745,0.54,0.47,0.605,0.5388471177944862,0.467390212038991,0.6021253556948956,1000,200,0,0.0,0.0001382696550001583,0.0001382696550001583,,,,,,0.0,0.0,0,0,sst2-M2
sst2,multinomial_nb,TF-IDF + Multinomial NB,classical,full prepared,full prepared (extra labels),complete,42,full prepared,10000,1000,recorded,classical native,amortized batch per row,sst2__multinomial_nb__36d0a632e5d2,results/pilot/sst2__multinomial_nb__36d0a632e5d2/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,0d20d0ef31088eae9a7ecddbe1f61daf17b86b5757b34f868da0378149451f31,observed test-best; post-hoc descriptive,0.8515680916129871,,,,,0.4537467500194907,0.845,0.79,0.89,0.8443423464135975,0.788647342995169,0.8896025692492975,1000,200,0,0.0,8.288854034617543e-05,8.288854034617543e-05,,,,,,0.0,0.0,0,0,sst2-M1
sst2,multinomial_nb,TF-IDF + Multinomial NB,classical,classical 4/class,matched/reference,complete,42,4,8,0,recorded,classical native,amortized batch per row,sst2__multinomial_nb__a094038879f9,results/pilot/sst2__multinomial_nb__a094038879f9/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,0d20d0ef31088eae9a7ecddbe1f61daf17b86b5757b34f868da0378149451f31,configuration fixed,,,,,,0.0025387919740751386,0.54,0.47,0.605,0.5388471177944862,0.467390212038991,0.6021253556948956,1000,200,0,0.0,5.3377915173768996e-05,5.3377915173768996e-05,,,,,,0.0,0.0,0,0,sst2-M1
sst2,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5 0.5B,zero_shot,zero-shot,matched/reference,complete,42,0,0,0,recorded,restricted-label likelihood,local sequential class scoring,sst2__Qwen2.5-0.5B-Instruct__594a827ceab2,results/pilot/sst2__Qwen2.5-0.5B-Instruct__594a827ceab2/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,0d20d0ef31088eae9a7ecddbe1f61daf17b86b5757b34f868da0378149451f31,configuration fixed,,7ae557604adf67be50417f59c2c2f167def9a775,,,,,0.5,0.49,0.515,0.3503118503118503,0.3288590604026846,0.38119996172370896,1000,200,0,0.0,0.5992039584671147,1.7553713691188,,7ae557604adf67be50417f59c2c2f167def9a775,sum_logp_numeric_id_plus_eos,21084,0,1.0,1.0,21084,0,sst2-M1
sst2,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5 0.5B,few_shot,few-shot 4/class,matched/reference,complete,42,4,8,0,recorded,restricted-label likelihood,local sequential class scoring,sst2__Qwen2.5-0.5B-Instruct__9800b4c889cc,results/pilot/sst2__Qwen2.5-0.5B-Instruct__9800b4c889cc/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,0d20d0ef31088eae9a7ecddbe1f61daf17b86b5757b34f868da0378149451f31,configuration fixed,,7ae557604adf67be50417f59c2c2f167def9a775,,,,,0.85,0.8,0.895,0.8499399759903962,0.7999784972494849,0.8949973749343734,1000,200,0,0.0,0.97474074998172,3.698361708340234,,7ae557604adf67be50417f59c2c2f167def9a775,sum_logp_numeric_id_plus_eos,64084,0,1.0,1.0,64084,0,sst2-M1
sst2,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5 0.5B,lora,LoRA 4/class,matched/reference,complete,42,4,8,0,recorded,restricted-label likelihood,local sequential class scoring,sst2__Qwen2.5-0.5B-Instruct__c29d9f2be13f,results/pilot/sst2__Qwen2.5-0.5B-Instruct__c29d9f2be13f/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,0d20d0ef31088eae9a7ecddbe1f61daf17b86b5757b34f868da0378149451f31,configuration fixed,,7ae557604adf67be50417f59c2c2f167def9a775,,,False,39.009211166994646,0.895,0.85,0.935,0.8944060339409177,0.8487750781328763,0.9348044116425207,1000,200,0,0.0,0.6579818959580734,1.0295942561642732,,7ae557604adf67be50417f59c2c2f167def9a775,sum_logp_numeric_id_plus_eos,21084,0,1.0,1.0,21084,0,sst2-M1
sst2,Qwen/Qwen3-4B-Instruct-2507,Qwen3 4B,zero_shot,zero-shot,matched/reference,complete,42,0,0,0,recorded,restricted-label likelihood,local sequential class scoring,sst2__Qwen3-4B-Instruct-2507__0e4acd9aac6a,results/colab/sst2__Qwen3-4B-Instruct-2507__0e4acd9aac6a/run.json,c608dce4ff40a3a5022e447c05bdf92a922f4cb102adb4c3130876f4b69be86f,0d20d0ef31088eae9a7ecddbe1f61daf17b86b5757b34f868da0378149451f31,configuration fixed,,cdbee75f17c01a7cc42f958dc650907174af0554,,,,,0.915,0.87,0.95,0.9147420948368815,0.869526047968244,0.9499549594635172,1000,200,0,0.0,0.14100390849995392,0.17716992755003388,,cdbee75f17c01a7cc42f958dc650907174af0554,sum_logp_numeric_id_plus_eos,16884,0,1.0,1.0,16884,0,sst2-M2
sst2,Qwen/Qwen3-4B-Instruct-2507,Qwen3 4B,few_shot,few-shot 4/class,matched/reference,complete,42,4,8,0,recorded,restricted-label likelihood,local sequential class scoring,sst2__Qwen3-4B-Instruct-2507__5823bb43da99,results/colab/sst2__Qwen3-4B-Instruct-2507__5823bb43da99/run.json,c608dce4ff40a3a5022e447c05bdf92a922f4cb102adb4c3130876f4b69be86f,0d20d0ef31088eae9a7ecddbe1f61daf17b86b5757b34f868da0378149451f31,configuration fixed,,cdbee75f17c01a7cc42f958dc650907174af0554,,,,,0.955,0.92,0.98,0.9549988749718743,0.919999799979998,0.98,1000,200,0,0.0,0.5103624279999508,0.6157909529999017,,cdbee75f17c01a7cc42f958dc650907174af0554,sum_logp_numeric_id_plus_eos,59884,0,1.0,1.0,59884,0,sst2-M2
sst2,Qwen/Qwen3-4B-Instruct-2507,Qwen3 4B,lora,QLoRA 4/class,matched/reference,complete,42,4,8,0,recorded,restricted-label likelihood,local sequential class scoring,sst2__Qwen3-4B-Instruct-2507__22d330c63925,results/colab/sst2__Qwen3-4B-Instruct-2507__22d330c63925/run.json,c608dce4ff40a3a5022e447c05bdf92a922f4cb102adb4c3130876f4b69be86f,0d20d0ef31088eae9a7ecddbe1f61daf17b86b5757b34f868da0378149451f31,configuration fixed,,cdbee75f17c01a7cc42f958dc650907174af0554,,,True,47.31492798199997,0.935,0.895,0.965,0.934998374959374,0.8949973749343734,0.9649991249781245,1000,200,0,0.0,0.21524259349996555,0.29168039170006066,,cdbee75f17c01a7cc42f958dc650907174af0554,sum_logp_numeric_id_plus_eos,16884,0,1.0,1.0,16884,0,sst2-M2
sst2,gpt-5.6-luna,GPT-5.6 Luna,zero_shot,zero-shot,matched/reference,complete,42,0,0,0,recorded,generated label,hosted end-to-end request,sst2__gpt-5.6-luna__31e207fb95d3,results/hosted/sst2__gpt-5.6-luna__31e207fb95d3/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,0d20d0ef31088eae9a7ecddbe1f61daf17b86b5757b34f868da0378149451f31,configuration fixed,,,none,256,,,0.925,0.885,0.96,0.9249080123150859,0.8845120634681529,0.95999599959996,1000,200,0,0.0,0.9774929165141657,1.681449655914912,gpt-5.6-luna,,,16199,800,1.0,1.0,16199,800,sst2-M1
