run_id,dataset,model,method,output_protocol,train_labels,dev_labels,budget_per_class,seed,manifest_sha256,accuracy,average_precision,balanced_accuracy,brier_sum,chosen_label_argmax_disagreement_rows,ece_15_equal_width,failure_rate,input_tokens,input_tokens_coverage,input_tokens_known_total,latency_p50_s,latency_p95_s,log_loss,macro_f1,n_classes,n_failures,n_probability_rows,n_test,output_tokens,output_tokens_coverage,output_tokens_known_total,prediction_time_s,probability_coverage,probability_renormalized_rows,roc_auc,valid_response_accuracy,zero_true_class_probability_rows
sst2__Qwen3-4B-Instruct-2507__0e4acd9aac6a,sst2,Qwen/Qwen3-4B-Instruct-2507,zero_shot,closed-label likelihood,0,0,0,42,c608dce4ff40a3a5022e447c05bdf92a922f4cb102adb4c3130876f4b69be86f,0.915,0.9799246293385436,0.914265706282513,0.15205012660452727,0,0.07724783900884774,0.0,16884,1.0,16884,0.14100390849995392,0.17716992755003388,0.7769975088033426,0.9147420948368815,2,0,200,200,0,1.0,0,29.901209060000383,1.0,59,0.9777911164465787,0.915,0
sst2__Qwen3-4B-Instruct-2507__22d330c63925,sst2,Qwen/Qwen3-4B-Instruct-2507,lora,closed-label likelihood,8,0,4,42,c608dce4ff40a3a5022e447c05bdf92a922f4cb102adb4c3130876f4b69be86f,0.935,0.9818045497548348,0.9354741896758703,0.12320657978184578,0,0.06334531337246611,0.0,16884,1.0,16884,0.21524259349996555,0.29168039170006066,1.0703236277315538,0.934998374959374,2,0,200,200,0,1.0,0,46.13334533999955,1.0,48,0.9809923969587835,0.935,0
sst2__Qwen3-4B-Instruct-2507__5823bb43da99,sst2,Qwen/Qwen3-4B-Instruct-2507,few_shot,closed-label likelihood,8,0,4,42,c608dce4ff40a3a5022e447c05bdf92a922f4cb102adb4c3130876f4b69be86f,0.955,0.9860094999741104,0.9552821128451381,0.08892544423391299,0,0.045974154323587486,0.0,59884,1.0,59884,0.5103624279999508,0.6157909529999017,0.7979670388614964,0.9549988749718743,2,0,200,200,0,1.0,0,103.2769039870011,1.0,49,0.982593037214886,0.955,0
sst2__linear_svc__d849105442ba,sst2,linear_svc,classical,classical native,8,0,4,42,c608dce4ff40a3a5022e447c05bdf92a922f4cb102adb4c3130876f4b69be86f,0.5,,0.5034013605442177,,,,0.0,,0.0,0,0.00011749163999979828,0.00011749163999979828,,0.48686371100164205,2,0,0,200,,0.0,0,0.023498327999959656,0.0,,,0.5,
sst2__logistic_regression__a2b87ec12b18,sst2,logistic_regression,classical,classical native,8,0,4,42,c608dce4ff40a3a5022e447c05bdf92a922f4cb102adb4c3130876f4b69be86f,0.495,0.5489608457770339,0.4982993197278911,0.4994979703314259,0,0.03761814889180991,0.0,,0.0,0,0.0002218322249999005,0.0002218322249999005,0.6926373096335677,0.48256871333794416,2,0,200,200,,0.0,0,0.044366444999980104,1.0,0,0.5297118847539016,0.495,0
sst2__majority__14e58b6b44f9,sst2,majority,classical,classical native,8,0,4,42,c608dce4ff40a3a5022e447c05bdf92a922f4cb102adb4c3130876f4b69be86f,0.49,0.51,0.5,1.02,0,0.51,0.0,,0.0,0,1.4004950000412463e-06,1.4004950000412463e-06,17.614775961404447,0.3288590604026846,2,0,200,200,,0.0,0,0.0002800990000082493,1.0,0,0.5,0.49,102
sst2__multinomial_nb__a0cf6a1ac8df,sst2,multinomial_nb,classical,classical native,8,0,4,42,c608dce4ff40a3a5022e447c05bdf92a922f4cb102adb4c3130876f4b69be86f,0.54,0.5572348358940413,0.5412164865946378,0.5049764137059095,0,0.09440417408474136,0.0,,0.0,0,0.0001382696550001583,0.0001382696550001583,0.6986048599785281,0.5388471177944862,2,0,200,200,,0.0,0,0.027653931000031662,1.0,193,0.5393157262905163,0.54,0
trec__Qwen3-4B-Instruct-2507__2f1ff41bd14e,trec,Qwen/Qwen3-4B-Instruct-2507,zero_shot,closed-label likelihood,0,0,0,42,82ffabbb8da285a63645b2d21dc15f8cbba5d150c2d30117a286f937f3e185fe,0.525,,0.5219964063714063,0.9363696861667896,0,0.4753509190795829,0.0,19854,1.0,19854,0.5847705185000223,0.6281924526499324,7.013104896819637,0.48204663657354924,6,0,200,200,0,1.0,0,116.74549218499737,1.0,67,,0.525,0
trec__Qwen3-4B-Instruct-2507__70bf91598825,trec,Qwen/Qwen3-4B-Instruct-2507,lora,closed-label likelihood,24,0,4,42,82ffabbb8da285a63645b2d21dc15f8cbba5d150c2d30117a286f937f3e185fe,0.8,,0.7937965178096756,0.3116077282963913,0,0.13625301912768603,0.0,19854,1.0,19854,0.6879002155001217,0.8444407905001067,0.8107062684060495,0.7509501002290576,6,0,200,200,0,1.0,0,143.26928792099625,1.0,71,,0.8,0
trec__Qwen3-4B-Instruct-2507__c0b1cc9b3d0f,trec,Qwen/Qwen3-4B-Instruct-2507,few_shot,closed-label likelihood,24,0,4,42,82ffabbb8da285a63645b2d21dc15f8cbba5d150c2d30117a286f937f3e185fe,0.83,,0.8621511164274321,0.3186914749156792,0,0.16182486436250307,0.0,133254,1.0,133254,4.183219312999881,4.2699642242499865,2.2314014840418395,0.8517748983850678,6,0,200,200,0,1.0,0,836.1693302700012,1.0,74,,0.83,0
